Brezilyanın başkenti neresidir?,Brasilia,Sao Paulo,Rio de Janeiro,Bahia,1,2
Brezilyanın ünlü karnavalı hangisidir?,Rio de Janeiro Karnavalı,Santos Karnavalı,Bahia Karnavalı,Corintihas Karnavalı,1,1
Brezilya futbol takımı forma rengi nedir?,Sarı-Yeşil,Sarı-Kırmızı,Bordo-Mavi,Siyah-Kırmızı,1,1
Brezilyanın resmi dili nedir?,Portekizce,İspanyolca,İtalyanca,Fransızca,1,2
Milli yemekleri nedir?,Porchetto,Polenta,Feijoada,Rosticceria,3,3
Kuruluş tarihi nedir?,1901,1833,1785,1822,4,3
Bayraklarındaki yeşil kısım neyi temsil etmektedir?,Barış,Özgürlük,Orman,Nehir,3,2
Japonya dışında en fazla Japonun bulunduğu Brezilya şehri neresidir?,Sao Paulo,Salvador,Brasilia,Porto,1,3
Dünyanın dördüncü büyük neo gotik katedrali hangisidir?, Pedra Katedrali,Sao Paulo Katedrali,Igreja Sao Fransisco,Santuário Tabor Magnificat,2,3
Kurtarıcı İsa Heykeli hangi şehirdedir?,Rio,Salvador,Brasilia,Porto,1,1
