Arjantin İstiklal hareketinin baş lideri ve kahramanı kimdir?,Juan Domingo Peron,General Jose de San Martin,General Galtier,Raul Ricardo Alfonsin,2,1
Arjantin resmi dili nedir?,İngilizce, Almanca,İspanyolca,Fransizca,3,1
Arjantinin en eski üniversitesi hangisidir?,Cordoba Univercity,Buenos Aires University,Argentina University,Cornell Univercity,1,2
Yıl 1986'da "Tanrı'nın Eli" ile İngiltere'yi bitiren futbolcu kimdir?,Batistuta,Crespo,Alfredo Di Stefano,Maradona,4,2
Arjantin kaç kez dünya kupası kaldırmıştır?,1,3,2,5,3,1
Arjantinde Ulusal Festival olarak anılan yeni yıl kutlaması olan festival hangisidir?,Arte BA,Fiesta Nacional del Folcloro,Rio,BAICI,2,3
Geleneksel Arjantin içeçeklerinin başında gelen bitkisel çay nedir?,Humitas,Tamales,Miga,Yerba Mate,4,3
Arjantin bağımsızlık günü ne zamandır?,1 Mayıs,23 Kasım,16-17 Şubat,9 Şubat,4,3
Aşağıdaki ülkelerden hangisi Arjantin komşusu değildir?,Şili,Bolivya,Paraguay,İspanya,4,1
Tango dansının doğduğu Arjantin şehri hangisidir?,Mar del Plate,Cordoba,Iguazui,Buenos Aires,4,2


