Dünyanın en uzun süreli ittifakı İngiltere ile hangi ülke ile arasındadır ?,Almanya,İtalya,Fransa,Portekiz,4,1
İngiliz yazar Shakespeare'in hangi oyunu dünyanın en çok sergilenen oyunudur ?,Macbeth,Hamlet,Romeo ve Juliet,Othello,1,3
Dünyanın en kısa savaşı 1896'da İngiltere ile hangi ülke arasında gerçekleşmiştir ?,Andora,Guatemala,Zanzibar,Brundi,3,4
İngiltere’ de gidebileceğiniz her bölge denize en fazla kaç km uzaklıktadır ?,110,111,112,113,4,2
Kral William hangi yılda tüm vatandaşların akşam 8’ de yatağa girmesini zorunlu kılmıştır ?,1068,1070,1072,1074,1,3
İngiltere’de kaçıncı yaşını dolduran her vatandaşa kraliçe tarafından tebrik kartı gönderilir ?,90,99,100,110,2,2
Dünyadaki tüm toprakların yüzde kaçı resmi olarak İngiltere Kraliçesi'ne aittir ?,13,14,15,16,4,2
İngiliz Deniz Kuvvetleri hangi şarkıcının müziklerini Somalili korsanları korkutmak için kullanmıştır ?,Britney Spears,Rihanna,Jennifer Lopez,Adele,1,3
İngiltere’nin başkenti neresidir ?,Manchester,Cambridge,Londra,Oxford,3,1
İngiltere’nin para birimi nedir ?,Dolar,Euro,Sterlin,Zloty,3,1
