Mısır hangi kıtadadır?,Avrupa,Afrika ve Asya,Afrika,Kuzey Amerika,2,1
Mısır'da seçilmiş ilk Cumhur Başkanı kimdir?,Hüsnü Mübarek,Muhammed Mursi,Adli Mansur,El Sisi,2,2
Mısır'ı fetheden Osmanlı padişahı hangisidir?,Kanuni Sultan Süleyman,Fatih Sultan Mehmet,Yavuz Sultan Selim,Yıldırım Beyazıt,3,3
Mısır'da bulunan dünyanın 7 harikasından biri olup en büyük piramit olma özelliğini taşıyan Keops Piramidi kaçıncı yüzyılda yapılmıştır?,MÖ 23,MÖ 24,MÖ 25,MÖ 26,4,1
Mısır nüfusunun büyük kısmının kıyısında yaşadığı dünyanın en büyük nehri olan Nil nehrinin uzunluğu kaç kilometredir?,6650,6250,7100,7350,1,2
Aşağıdakilerden hangisi Mısır'ın komşularından biri değildir?,Libya,Sudan,Çad,Filistin,3,3
Mısırın başkenti hangisidir?,Kahire,Gize,Süveyş,İskenderiye,1,1
Akdeniz ile Kızıldenizi birbirine bağlayan kanal hangisidir?,Süveyş Kanalı,Panama Kanalı,Macellan,Corinth Kanalı,1,1
2013 yılında yapılan askeri darbe sırasında yapılan eylemlerde kaç kişi hayatını kaybetmiştir?,100,120,140,160,2,2
Mısırın bayrağında hangi renk yoktur?,Kırmızı,Mavi,Beyaz,Siyah,2,2
