Rusya para birimi nedir?,Dolar,Euro,Ruble,Dinar,3,2
Başkenti neresidir?,St. Petersburg,Zenit,Moskova,Rubin Kazan,3,1
Maslenitsa olarak kutlanan bayram hangi özel gündür?,Baharın gelişi,Cadılar bayramı,Rusyanın kurtuluşu,Paskalya bayramı,1,3
Pelmenien olarak bilinen yemek hangisidir?,Börek,Köfte,Mantı,Makarna,3,3
Hangisi ünlü Rus yazardır?,Tolstoy,Thomas Paine,Rainer Maria Rilke,Friedrich Hebbel,1,2
Hangisi ünlü Rus futbolcudur?,Andrey Arshavin,Paul Pogba,Mario Gomez,İbrahima Yattara,1,2
Rusyanın en büyük şehri hangisidir?,Moskova,St.Peterburg,Kazan,Nijni Novgorod,1,1
Aşagıdaki yazarlardan hangisi Nobel ödülü almamıştır?,Mihail Şolohov,Aleksandr Soljenitsin,Boris Pasternak,Anton Çehov,4,2
Rusyanın mevcut başkanı kimdir?,Vladimir Vladimiroviç Putin,Dmitriy Anatolyeviç Medvedev,Viktor Alekseyeviç Zubkov,Mihail Yefimoviç Fradkov,1,2
Hangisi Rusyanın komşusu değildir?,Türkiye,Ukrayna,Kazakistan,Çin,1,1
