Almanyanın bayrağında hangi renk yoktur?,Siyah,Kırmızı,Mavi,Sarı,3,1
Utanç Duvarı olarak adlandırılan Berlin Duvarı kaç yılında yıkılmıştır?,1988,1989,1990,1991,2,2
Almanyada hiçbir dine inanmayan kişilerin oranı kaçtır?,30,32,34,36,4,2
Angela Merkel kaç yılından beri Almanya Şansölyesi görevini yapmaktadır?,2004,2005,2006,2007,2,2
1517de Almanyada Protestan Reformunu kim başlatmıştır?,Martin Luther,Jan Hofer,Ulrich Wickert,Rudi Völler,1,3
Almanyanın başkenti hangisidir,Frankfurt,Berlin,Hamburg,Bremen,2,1
Aşağıdakilerden hangisi ünlü Alman edebiyatçılarından değildir?,Bach,Beethoven,Goethe,Victor Hugo,4,1
Aşağıdakilerden hangisi ünlü Alman filozoflarından değildir?,Kant,Hegel,Nietzsche,Descartes,4,1
Aşağıdakilerden hangisi Alman otomobil markası değildir?,Mercedes,Audi,BMW,Renault,4,1
Aşağıdakilerden hangisi bir Alman filmidir?,Who am I,60 Second,Whiplash,Leon,2,1
