Aşağıdakilerden hangisi Katarın sınır komşularından değildir?,Bahreyn,Suudi Arabistan,Birleşik Arap Emirlikleri,Suriye,4,1
Katarın başkenti aşağıdakilerden hangisidir?,Doha,Manama,Riyad,Kahire,1,2
Dünya Kupası maçları hangi yıl Katarda düzenlecektir?,2022,2024,2026,2028,1,3
Katarda bulunan Ortadoğunun en büyük üssü hangi ülkeye aittir?,ABD,İngiltere,Japonya,Almanya,1,3
Katarın resmi para birimi aşağıdakilerden hangisidir?,Dinar,Riyal,Ruble,Somoni,2,3
Katarın ekonomisine en büyük katkıyı hangisi yapar?,Balıkçılık,Petrol,İnci Avcılığı,Turizm,2,1
Katarın yönetim şekli hangisidir?,Cumhuriyet,Tek Partili Sistem,Mutlak Monarşi,Kraliyet,3,2
Katar kaç yılında İngilizlerin himayesinden ayrılarak bağımsızlıklarını ilan etti?,1961,1971,1981,1991,2,2
Arap Baharı sırasında öne çıkan Katar televizyon kanalı hangisidir?,AL ARABIYA,AL MANAR,AL DAFRAH,AL JAZEERA,4,2
Mevcut Katar Emiri kimdir?,Şeyh Ahmed bin Ali es-Sani,Şeyh Halife bin Hamad es-Sani,Şeyh Hamad bin Halife es-Sani,Şeyh Tamim bin Hamad es-Sani,4,3
